,Unnamed: 0,kepid,name,koi_impact,koi_prad
667,667,6960913,Kepler-61 b,0.004,2.19
669,669,11122894,Kepler-297 c,0.796,6.39
671,671,11129738,Kepler-844 b,0.891,1.5
672,672,11401182,Kepler-845 b,0.795,1.79
673,673,11030711,Kepler-1750 b,0.196,4.68
674,674,11512246,Kepler-23 b,0.079,1.72
677,677,6690082,Kepler-280 b,0.368,1.76
678,678,6690082,Kepler-280 c,0.94,2.96
679,679,6448890,Kepler-56 c,0.943,11.64
680,680,6448890,Kepler-56 b,0.034,5.68
681,681,10730034,Kepler-285 b,0.204,1.38
682,682,10730034,Kepler-285 c,0.013,1.21
683,683,10858691,Kepler-286 b,0.015,1.2
684,684,10858691,Kepler-286 c,0.143,1.29
685,685,10858691,Kepler-286 d,0.04,1.31
686,686,8107380,Kepler-476 b,0.568,3.11
687,687,6936909,Kepler-291 b,0.633,2.18
688,688,6936909,Kepler-291 c,0.664,2.03
689,689,6962977,Kepler-292 f,0.269,2.26
690,690,6962977,Kepler-292 d,0.301,2.13
691,691,11176127,Kepler-298 b,0.664,2.11
692,692,11176127,Kepler-298 c,0.805,2.08
693,693,11176127,Kepler-298 d,0.758,2.63
695,695,11014932,Kepler-299 c,0.953,2.68
698,698,8030148,Kepler-474 b,0.477,3.24
700,700,6693640,Kepler-798 b,0.022,1.98
701,701,10858691,Kepler-286 e,0.779,1.81
702,702,10973814,Kepler-287 c,0.807,3.35
703,703,10973814,Kepler-287 b,0.826,2.88
704,704,6541920,Kepler-11 g,0.011,3.4
705,705,10586208,Kepler-811 b,0.711,3.0
706,706,6962977,Kepler-292 e,0.073,2.11
707,707,6962977,Kepler-292 c,0.327,1.46
708,708,6962977,Kepler-292 b,0.16,1.31
710,710,6932987,Kepler-293 b,0.548,3.04
711,711,11014932,Kepler-299 d,0.321,1.6
712,712,11014932,Kepler-299 b,0.043,1.29
713,713,11014932,Kepler-299 e,0.115,1.77
714,714,11288505,Kepler-846 b,0.054,2.08
715,715,11493431,Kepler-847 b,0.047,1.18
722,722,10854768,Kepler-812 b,0.296,3.07
723,723,10964440,Kepler-813 b,0.861,4.23
724,724,10713616,Kepler-1667 b,0.544,6.63
725,725,10963242,Kepler-814 b,0.083,2.04
727,727,6932987,Kepler-293 c,0.927,3.88
728,728,8191672,Kepler-5 b,0.075,14.92
729,729,6851425,Kepler-477 b,0.72,2.08
730,730,6934291,Kepler-828 b,0.324,1.55
733,733,11037335,Kepler-300 c,0.638,2.2
734,734,11037335,Kepler-300 b,0.967,2.18
735,735,11389771,Kepler-301 b,0.009,1.28
736,736,11389771,Kepler-301 d,0.359,1.66
739,739,10925104,Kepler-114 c,0.26,1.29
743,743,10585852,Kepler-815 b,0.129,4.26
745,745,10794087,Kepler-1743 b,0.898,1.43
747,747,6541920,Kepler-11 b,0.017,1.84
749,749,7287415,Kepler-1745 b,0.732,2.25
750,750,6924203,Kepler-829 b,0.075,1.69
755,755,11389771,Kepler-301 c,0.536,1.38
756,756,11599038,Kepler-1751 b,0.581,1.61
757,757,11193263,Kepler-848 b,0.259,1.9
758,758,11027624,Kepler-849 b,0.336,7.79
759,759,11032227,Kepler-850 b,0.017,1.59
760,760,8751933,Kepler-420 b,0.0,9.4
761,761,8630788,Kepler-281 c,0.825,5.3
762,762,8630788,Kepler-281 b,0.561,2.22
763,763,8630788,Kepler-281 d,0.883,4.3
767,767,4164994,Kepler-816 b,0.407,9.01
770,770,6766634,Kepler-1746 b,0.873,7.25
773,773,7211469,Kepler-830 b,0.634,1.74
776,776,7831264,Kepler-116 b,0.166,3.26
778,778,7532973,Kepler-854 b,1.228,59.19
782,782,8678594,Kepler-799 b,0.249,11.21
783,783,10925104,Kepler-114 b,0.179,1.0
784,784,8678594,Kepler-799 c,0.906,3.69
787,787,4076098,Kepler-817 b,0.582,7.45
789,789,4282872,Kepler-818 b,0.079,4.42
794,794,7211221,Kepler-831 b,0.742,1.37
798,798,11356260,Kepler-851 b,0.816,1.9
800,800,11600889,Kepler-407 b,0.157,1.13
802,802,11043167,Kepler-852 b,0.481,2.49
803,803,8612847,Kepler-800 b,0.848,3.02
805,805,8547140,Kepler-801 b,0.242,1.48
810,810,4072526,Kepler-819 b,0.017,2.85
813,813,4455231,Kepler-288 c,0.001,4.0
817,817,9527915,Kepler-478 b,0.451,2.38
820,820,11336883,Kepler-853 b,0.573,1.61
827,827,8564587,Kepler-57 b,0.597,2.41
828,828,10925104,Kepler-114 d,0.54,2.08
829,829,8564587,Kepler-57 c,0.03,1.71
832,832,8806072,Kepler-802 b,0.819,3.43
833,833,4455231,Kepler-288 b,0.012,2.22
834,834,4455231,Kepler-288 d,0.298,3.68
837,837,8972058,Kepler-115 c,0.77,2.78
847,847,7832356,Kepler-855 b,0.048,8.99
848,848,9643874,Kepler-856 b,0.495,8.43
849,849,8800954,Kepler-421 b,0.8495,4.53
850,850,8583696,Kepler-803 b,0.018,3.88
854,854,4155328,Kepler-820 b,0.416,9.46
855,855,4077526,Kepler-58 b,0.416,2.33
856,856,4077526,Kepler-58 c,0.946,2.94
857,857,4077526,Kepler-58 d,0.868,2.92
860,860,8935810,Kepler-1747 b,0.808,3.7
861,861,2441495,Kepler-479 b,0.594,2.2
862,862,9455556,Kepler-294 c,0.111,2.54
863,863,9455556,Kepler-294 b,0.178,1.62
865,865,3732821,Kepler-790 b,0.941,2.71
868,868,3962357,Kepler-791 b,0.955,3.45
870,870,8394721,Kepler-79 e,0.584,3.01
871,871,8609450,Kepler-282 d,0.007,2.16
872,872,6541920,Kepler-11 c,0.004,2.88
873,873,8609450,Kepler-282 e,0.273,2.45
874,874,8609450,Kepler-282 b,0.037,1.02
875,875,8609450,Kepler-282 c,0.105,1.1
876,876,4243911,Kepler-821 b,0.036,1.28
877,877,4466677,Kepler-822 b,0.33,1.47
880,880,4135665,Kepler-823 b,0.709,2.28
881,881,9269281,Kepler-1748 b,0.877,3.0
885,885,9034103,Kepler-832 b,0.027,2.24
886,886,9214942,Kepler-833 b,0.034,1.67
888,888,3749134,Kepler-792 b,0.117,1.85
890,890,3660924,Kepler-793 b,0.257,1.44
891,891,3939150,Kepler-277 b,0.764,3.14
892,892,8628758,Kepler-804 b,0.035,1.94
893,893,8628758,Kepler-804 c,0.122,1.08
895,895,8742590,Kepler-1742 b,0.048,1.88
896,896,8822366,Kepler-805 b,0.907,3.01
897,897,8972058,Kepler-115 b,0.918,1.24
899,899,4650674,Kepler-824 b,0.118,1.84
900,900,4275721,Kepler-825 b,0.0,1.29
901,901,4275721,Kepler-825 c,0.655,1.77
902,902,8874090,Kepler-834 b,0.073,1.26
903,903,11666881,Kepler-480 b,0.243,2.86
904,904,9264949,Kepler-835 b,0.947,3.32
905,905,9271752,Kepler-836 b,0.734,2.6
907,907,9150827,Kepler-1749 b,0.766,1.36
908,908,3939150,Kepler-277 c,0.39,3.13
909,909,3839488,Kepler-794 b,0.01,2.06
911,911,3442055,Kepler-795 b,0.046,1.74
913,913,12252424,Kepler-113 c,0.74,2.36
914,914,8700771,Kepler-806 b,0.951,1.44
916,916,6541920,Kepler-11 d,0.023,3.2
921,921,4136466,Kepler-826 b,0.532,1.37
926,926,9391208,Kepler-837 b,0.96,2.94
927,927,9391506,Kepler-838 b,0.637,2.77
928,928,8950853,Kepler-839 b,0.845,3.04
929,929,9006449,Kepler-295 b,0.931,1.55
930,930,9006449,Kepler-295 c,0.804,1.36
931,931,9006449,Kepler-295 d,0.961,1.74
932,932,4043190,Kepler-796 b,0.861,1.91
933,933,3640905,Kepler-278 b,0.802,4.54
934,934,3640905,Kepler-278 c,0.498,3.66
938,938,10790387,Kepler-807 b,0.615,10.36
948,948,7303287,Kepler-289 c,0.101,12.37
949,949,7303287,Kepler-289 b,0.87,2.67
950,950,11512246,Kepler-23 c,0.034,3.06
953,953,11517719,Kepler-840 b,0.133,15.75
960,960,12252424,Kepler-113 b,0.672,2.0
