,Unnamed: 0_x,kepid_x,name,koi_impact_x,koi_prad_x,Unnamed: 0_y,description,discovery date,Unnamed: 0,kepid_y,koi_impact_y,koi_prad_y
87,133,5792202,Kepler-27 c,0.798,6.5,1231,"Kepler-279 d is a Neptune-like exoplanet that orbits an F-type star. Its mass is 37.5 Earths, it takes 54.4 days to complete one orbit of its star, and is 0.2901 AU from its star. Its discovery was announced in 2013.",2014,133,5792202,0.798,6.5
88,137,5436502,Kepler-238 e,0.008,7.89,1111,"Kepler-238 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.3 Earths, it takes 6.2 days to complete one orbit of its star, and is 0.069 AU from its star. Its discovery was announced in 2014.",2013,137,5436502,0.008,7.89
89,138,5436502,Kepler-238 d,0.014,3.06,1110,"Kepler-238 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.64 Earths, it takes 2.1 days to complete one orbit of its star, and is 0.034 AU from its star. Its discovery was announced in 2014.",2013,138,5436502,0.014,3.06
90,139,5436502,Kepler-238 c,0.235,2.32,1109,"Kepler-237 c is a super Earth exoplanet that orbits a K-type star. Its mass is 4.98 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.071 AU from its star. Its discovery was announced in 2014.",2014,139,5436502,0.235,2.32
91,140,5436502,Kepler-238 b,0.746,1.62,1108,"Kepler-237 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.57 Earths, it takes 4.7 days to complete one orbit of its star, and is 0.05 AU from its star. Its discovery was announced in 2014.",2014,140,5436502,0.746,1.62
92,141,10875245,Kepler-107 b,0.196,1.53,107,"Kepler-107 b is a super Earth exoplanet that orbits a G-type star. Its mass is 3.51 Earths, it takes 3.2 days to complete one orbit of its star, and is 0.04544 AU from its star. Its discovery was announced in 2014.",2014,141,10875245,0.196,1.53
93,142,5436502,Kepler-238 f,0.379,2.67,1112,"Kepler-238 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.64 Earths, it takes 13.2 days to complete one orbit of its star, and is 0.115 AU from its star. Its discovery was announced in 2014.",2014,142,5436502,0.379,2.67
94,143,5456651,Kepler-239 b,0.048,2.35,1113,"Kepler-238 e is a Neptune-like exoplanet that orbits a G-type star. Its mass is 0.534 Jupiters, it takes 23.7 days to complete one orbit of its star, and is 0.1658 AU from its star. Its discovery was announced in 2013.",2014,143,5456651,0.048,2.35
95,144,5456651,Kepler-239 c,0.7,2.37,1114,"Kepler-238 f is a super Earth exoplanet that orbits a G-type star. Its mass is 13.5 Earths, it takes 50.4 days to complete one orbit of its star, and is 0.2747 AU from its star. Its discovery was announced in 2013.",2011,144,5456651,0.7,2.37
96,146,5531576,Kepler-240 c,0.3,2.25,1119,"Kepler-23 d is a super Earth exoplanet that orbits a G-type star. Its mass is 17.6 Earths, it takes 15.3 days to complete one orbit of its star, and is 0.124 AU from its star. Its discovery was announced in 2014.",2014,146,5531576,0.3,2.25
97,147,5531576,Kepler-240 b,0.004,1.48,1118,"Kepler-23 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 2.7 Jupiters, it takes 10.7 days to complete one orbit of its star, and is 0.099 AU from its star. Its discovery was announced in 2011.",2014,147,5531576,0.004,1.48
